번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,nearest_site_name,bell
4718,피앤이솔루션발전소,0.05,경기,경기 수원시 권선구,37.25763,126.97187,수원,False
4618,디에스4호,0.8265600000000001,경기,경기 연천군 미산면,38.047478,126.99293,동두천,True
2496,콘카그린쏠라1호,1.96992,경기,경기 평택시 포스읍,36.99424075,126.8359886,천안,True
35123,덕소정수장정수지태양광,1.012,경기,경기 남양주시 와부읍,37.58543,127.21665,광주,True
18287,용인청정태양광,1.085,경기,경기 용인시 처인구,37.234306,127.201355,구미,True
62087,코리아로드태양광3호기,1.703,경기,경기 용인시 수지구,37.322117,127.09768,구미,True
61888,광명전기태양광,0.5,경기,경기 안산시 단원구,37.321148,126.81532,장수,True
35136,덕소정수장태양광발전기,0.327,경기,경기 남양주시 와부읍,37.58543,127.21665,광주,True
68158,해승태양광,0.99645,경기,경기 양평군 강하면,37.494957,127.41046,광주,False
35112,시흥정수장태양광#2,1.31096,경기,경기 안산시 단원구,37.321148,126.81532,장수,False
64771,피브이13호,0.4212,경기,경기도 연천군 신서면,38.18297,127.10703999999998,철원,True
68536,해테크여주4호 태양광,0.49842,경기,경기 여주시 북내면,37.32931,127.67895,원주,False
7796,광나지태양광,0.099,경기,경기 여주시 강천면,37.27289,127.71151,원주,False
34333,송영훈 태양광,2.00022,경기,경기도 연천군 미산면,38.047478,126.99293,동두천,False
54868,와초리 태양광,1.8468,경기,경기 연천군 연천읍,38.103924,127.07593500000002,동두천,True
1467,비에스케이여주햇빛발전소,0.4930199999999999,경기,경기 여주시 대신면,37.375042,127.58656,이천,False
62212,교통안전공단태양광,0.9,경기,경기 화성시 성산면,37.238325,126.675511,인천,True
41675,여주늘푸른태양광,0.0994,경기,경기 여주시 대신면,37.375042,127.58656,이천,False
778,성곡2호태양광,1.99584,경기,경기 안산시 단원구,37.321148,126.81532,장수,False
50877,이케아 고양점 태양광발전기,0.994175,경기,경기도 고양시 덕양구,37.637478,126.83219,성산,True
69838,현대태양광,0.099,경기,경기 연천군 군남면,38.085197,127.01908,동두천,False
50466,이수백태양광,0.0994,경기,경기 여주시 대신면,37.375042,127.58656,이천,False
31683,성덕태양광,0.099,경기,경기 연천군 청산면,37.981762,127.06768,동두천,False
61786,카피어솔라태양광,0.49533,경기,경기 파주시 파주읍,37.83075,126.82003,파주,True
56395,케이디솔라포천발전소1,0.99792,경기,경기 포천시 창수면,37.991734,127.18912,동두천,False
40903,에스테루키2호태양광,0.099,경기,경기 여주시 강천면,37.27289,127.71151,원주,False
37042,신세계구성태양광,0.462,경기,경기 용인시 기흥구,37.280384,127.11472,영덕,True
2964,BBTS태양광,0.999,경기,경기 이천시 대월면,37.229885,127.49239,이천,True
1578,석그린태양광발전소,1.86552,경기,경기 포천시 창수면,37.991734,127.18912,동두천,True
4704,KCC중앙연구소 종합연구동태양광,1.134,경기,경기 용인시 기흥구,37.280384,127.11472,영덕,True
48750,행죽태양광,1.7532900000000002,경기,경기 이천시 설성면,37.13247,127.522026,이천,True
1691,덕우수상회전식태양광,2.656,경기,경기 화성시 봉담읍,37.220066,126.94953999999998,수원,True
4707,케이씨씨 여주태양광 제3발전소,0.84096,경기,경기 여주시 가남읍,37.2018,127.54516,이천,True
6257,KTC태양광,1.378,경기,경기 화성시 팔탄면,37.162266,126.904854,수원,True
56224,에이치알태양광발전소,2.07296,경기,경기 화성시 우정읍,37.08982,126.81535,수원,True
