번호,발전기명,설비용량(MW),광역지역,세부지역
1854,에스디해바라기 태양광발전소 3호,2.2977,경기,경기 이천시 율면
35136,덕소정수장태양광발전기,0.327,경기,경기 남양주시 와부읍
29865,안산연성정수장태양광,1.49,경기,경기 시흥시 광석동
56399,화성KC2호 태양광발전기,4.17582,경기,경기도 화성시 송산면
1578,석그린태양광발전소,1.86552,경기,경기 포천시 창수면
30127,지축차량기지태양광,1.992,경기,경기 고양시 덕양구
40903,에스테루키2호태양광,0.099,경기,경기 여주시 강천면
929,605수송대대태양광,1.518,경기,경기 포천시 이동면
56409,케이티화성송신소태양광,2.98485,경기,경기 화성시 서신면
18006,부지외태양광#1,0.139125,경기,경기 동두천시 광암동
39379,에너지타운 태양광,0.23676,경기,경기 안산시 단원구
50466,이수백태양광,0.0994,경기,경기 여주시 대신면
48598,(유)노령 태양광발전소,0.99792,경기,경기 여주시 점동면
39382,안산정수장태양광,0.537,경기,경기 안산시 단원구
13454,제일종축태양광,2.221,경기,경기 이천시 부발읍
56168,신흥태양광발전기,0.99648,경기,경기 여주시 산북면
29871,안산공단태양광,0.21,경기,경기 안산시 단원구
7796,광나지태양광,0.099,경기,경기 여주시 강천면
48698,(유)여주케이원솔라 태양광발전소,0.49896,경기,경기 여주시 점동면
28342,삼이일태양광발전소,0.09832,경기,경기 여주시 점동면
66869,한온시스템 평택공장 태양광 발전소,1.15344,경기,경기도 평택시 포승읍
2644,평택서부공설운동장태양광,0.753,경기,경기 평택시 청북면
18007,부지외태양광#2,0.131705,경기,경기 동두천시 광암동
33872,노곡리1호 태양광발전소,1.998,경기,경기 연천군 백학면
2964,BBTS태양광,0.999,경기,경기 이천시 대월면
64500,늘푸른하늘태양광1호,0.89352,경기,경기 안성시 삼죽면
46898,운지솔라 북삼1호 태양광발전소,2.09088,경기,경기 연천군 왕징면
67484,해님1호 태양광,0.099,경기,경기 여주시 대신면
2496,콘카그린쏠라1호,1.96992,경기,경기 평택시 포스읍
7929,멱곡1호태양광,0.7904,경기,경기 여주시 멱곡동
4718,피앤이솔루션발전소,0.05,경기,경기 수원시 권선구
57104,준태양광 왕징7호,1.81818,경기,경기 포천시 왕징면
18479,동안이젠태양광발전소,1.86975,경기,경기 김포시 양촌읍
30119,김포공급센터태양광,0.09996,경기,경기 김포시 통진읍
34385,송인태양광,2.4786,경기,경기 연천군 미산면
1112,대륜발전3호태양광,0.564,경기,경기 양주시 화합로
62087,코리아로드태양광3호기,1.703,경기,경기 용인시 수지구
64502,늘푸른하늘태양광3호,0.97236,경기,경기 안성시 삼죽면
26700,블루2호,0.20088,경기,경기도 연천군 신서면
64771,피브이13호,0.4212,경기,경기도 연천군 신서면
56200,에버그린태양광,2.4786,경기,경기 연천군 미산면
2642,월곶2차태양광,0.74052,경기,경기 시흥시 월곶동
1522,삼천리광명태양광,0.1734,경기,경기도 광명시 자경로
56105,삼마여주2호,2.99592,경기,경기 여주시 북내면
47284,원일태양광,0.099,경기,경기 포천시 내촌면
64501,늘푸른하늘태양광2호,0.70299,경기,경기 안성시 삼죽면
4707,케이씨씨 여주태양광 제3발전소,0.84096,경기,경기 여주시 가남읍
48662,신흥태양광발전소,1.47096,경기,경기 안성시 일죽면
44821,옻골 태양광발전소,0.25935,경기,경기 화성시 송산면
28826,상명1호태양광,0.099,경기,경기 안성시 일죽면
64251,포곡55사단태양광,0.99648,경기,경기 용인시 처인구
68058,한민고태양광,0.543,경기,경기 파주시 광탄면
35137,시흥정수장태양광발전기,0.099,경기,경기 안산시 단원구
29881,석정태양광발전소,0.19832,경기,경기 평택시 포승읍
18008,동두천드림태양광,1.591,경기,경기 동두천시 광암동
61947,리콘타태양광,0.78,경기,경기 여주시 점동면
1691,덕우수상회전식태양광,2.656,경기,경기 화성시 봉담읍
68536,해테크여주4호 태양광,0.49842,경기,경기 여주시 북내면
49983,의정부하수처리장태양광,0.327,경기,경기 의정부시 장곡로
13405,농심율촌태양광,0.84,경기,경기 평택시 포승읍
1040,세일GAT솔라태양광#1,4.386,경기,경기 이천시 초지리
38548,썬플러스5호 두일리태양광,2.02176,경기,경기 연천군 백학면
54868,와초리 태양광,1.8468,경기,경기 연천군 연천읍
62212,교통안전공단태양광,0.9,경기,경기 화성시 성산면
6257,KTC태양광,1.378,경기,경기 화성시 팔탄면
4695,주영태양광PV,0.23391,경기,경기 안산시 단원구
56270,yk에너지1호,1.33385,경기,경기 시흥시 정황동
1690,멱우수상회전식태양광,2.9952,경기,경기 화성시 우정읍
7018,고래태양광,0.09728,경기,경기 안산시 단원구
55980,다인산전태양광,0.03825,경기,경기 화성시 팔탄면
29874,안산성곡태양광,0.17,경기,경기 안산시 단원구
58746,진에너지태양광,0.099,경기,경기 포천시 영북면
64307,포천파워소내태양광,0.664,경기,경기 포천시 창수면
29864,평택2복합태양광,0.455,경기,경기 평택시 포승읍
66787,한양1태양광,0.4599,경기,경기 평택시 서탄면
29875,안산초지태양광,0.16,경기,경기 안산시 단원구
56130,주식회사 성진2호태양광발전소,0.432,경기,경기도 화성시 장안면
50877,이케아 고양점 태양광발전기,0.994175,경기,경기도 고양시 덕양구
69838,현대태양광,0.099,경기,경기 연천군 군남면
778,성곡2호태양광,1.99584,경기,경기 안산시 단원구
35112,시흥정수장태양광#2,1.31096,경기,경기 안산시 단원구
1467,비에스케이여주햇빛발전소,0.49302,경기,경기 여주시 대신면
35135,고양정수장태양광발전기,0.268,경기,경기 고양시 일산동구
38771,그린오산태양광,1.922,경기,경기 오산시 부산동
35128,시화방아머리태양광,1.0404,경기,경기도 안산시 단원구
28297,삼용태양광,0.491,경기,경기 포천시 일동면
31683,성덕태양광,0.099,경기,경기 연천군 청산면
41675,여주늘푸른태양광,0.0994,경기,경기 여주시 대신면
4704,KCC중앙연구소 종합연구동태양광,1.134,경기,경기 용인시 기흥구
39381,안산하수처리시설태양광,1.248,경기,경기 안산시 단원구
55981,다인햇빛발전소,0.49302,경기,경기 여주시 대신면
18287,용인청정태양광,1.085,경기,경기 용인시 처인구
56023,디티이엔비 1호 태양광,1.49796,경기,경기 안성시 상죽면
12500,하동하수처리장태양광,0.055,경남,경남 하동군 하동읍
12405,삼천포태양광#5-1,3.93984,경남,경남 고성군 하이면
51639,일심태양광,0.099,경남,경남 합천군 묘산면
20042,럭키태양광발전기,0.99856,경남,경남 거창군 고제면
14246,에스플랜트6호태양광,0.67488,경남,경남 김해시 한림면
35130,원동취수장태양광,0.099,경남,경남 양산시 원동면
59283,의령 참새 태양광,0.98982,경남,경남 의령군 용덕면
15140,대명에너지태양광,1.402,경남,경남 하동군 북천면
1044,넥스트에너지태양광,2.00448,경남,경남 함양군 서상면
45018,와이피피농원에너지2호,0.498,경남,경남 거창군 북상면
26381,부일태양광발전소,0.099,경남,경남 하동군 적량면
25199,보국전자태양광,0.245,경남,경남 김해시 진례면
46469,우원솔라태양광발전기,2.73042,경남,경남 사천시 곤양면
985,화목맑은물센터태양광,1.243,경남,경남 김해시 김해대로
11721,가야테마파크주차장 태양광발전소,0.4968,경남,경남 김해시 가야테마길
12499,하동정수장태양광,0.093,경남,경남 하동군 하동읍
65920,해떠태양광,0.09936,경남,경남 김해시 주촌면
61912,GMK창원공장태양광,2.966,경남,경남 창원시 성산구
873,곤양태양광,0.999,경남,경남 사천시 곤양면
57869,정촌태양광발전소,0.40365,경남,경남 진주시 정촌면
72736,희망빛부북위양 제3발전기,0.65844,경남,경남 밀양시 부북면
40515,에버그린에너지 태양광,0.399,경남,경남 하동군 횡천면
1923,엔에스쏠라태양광,2.966,경남,경남 창녕군
27555,사천미래태양광,0.869,경남,경남 사천시 곤양면
61887,한국제강태양광,0.998,경남,경남 함안군 군북면
19749,양산물류센터태양광,1.6,경남,경남 양산시 물금읍
59553,진해석동정수장태양광발전기,0.491,경남,경남 창원시 진해구
795,가야태양광,0.848,경남,경남 합천군 가야면
65115,하늘농장15호태양광,1.50255,경남,경남 거창군 가조면
20071,레일에너지태양광,1.247,경남,경남 김해시 한림면
11723,명동정수장 침전지 태양광발전소,0.4968,경남,경남 김해시 한림면
63004,태양산업발전기,0.3024,경남,경남 양산시 상북면
11716,김해명동태양광,1.539,경남,경남 김해시 한림면
56046,무량태양광,2.304,경남,경남 고성군 고성읍
66143,한려태양광,0.49932,경남,경남 남해군 창선면
12428,경상대가좌태양광,0.905,경남,경남 진주시 진주대로
1621,성훈철강태양광,1.624,경남,경남 진주시 상평동
64674,두산솔라파워1호 태양광,0.486,경남,경남 창원시 성산구
12406,삼천포태양광#5-2,6.64704,경남,경남 고성군 하이면
12493,하동화력태양광4호기,0.99756,경남,경남 하동군 금남면
56464,하찬캄태양광,1.4994,경남,경남 고성군 하이면
40884,경남창원태양광#2,0.944,경남,경남 창원시 성산구
63113,태영에너지창녕태양광,0.998,경남,경남 창녕군 대합면
13421,피비태선오계2태양광,0.974,경남,경남 거창군 남상면
11989,나무리태양광발전소,0.9657,경남,경남 산청군 신등면
1488,사천태양광,0.99648,경남,경남 사천시 사천읍
35126,합천수상태양광#3,0.099,경남,경남 합천군 대병면
4612,가야4호 태양광발전소,0.99495,경남,경남 합천군 가야면
67292,합천솔라태양광,1.5,경남,경남 합천군 가회면
884,광명4호태양광,0.74106,경남,경남 진주시 집현면
150,다모아태양광,1.87488,경남,경남 의령군 대의면
55946,주식회사광덕,0.39123,경남,경남 창녕군 계성면
4685,제이에스파워2호태양광,0.0972,경남,경남 진주시 사봉면
56368,지피원오호리태양광,1.1934,경남,경남 창녕군 길곡면
10476,금오태양광,0.49842,경남,경남 하동군 진교면
1224,동광하동태양광,1,경남,경남 하동군 북천면
35132,밀양정수장태양광,0.233,경남,경남 밀양시 산외면
68060,대전통영선태양광,2.78,경남,경남 고성군 대가면
19265,두산중공업 창원러닝센터태양광,0.29931,경남,경남 창원시 성산구
1731,신기태양광,0.99648,경남,경남 사천시 사천읍
852,거창에코태양광,0.998,경남,경남 거창군
800,가조은혜태양광,1.2,경남,경남 거창군 가조면
1492,산청태양광,1,경남,경남 산청군 단성면
1283,도원태양광,0.469,경남,경남 합천군 봉산면
29771,서대태양광,0.49932,경남,경남 남해군 창선면
5102,가은태양광,0.24528,경남,경남 거창군 거창읍
12891,남해태양광,0.49932,경남,경남 남해군 창선면
