,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude,bell,지점0,지점번호0,latitude(지점)0,longitude(지점)0,지점1,지점번호1,latitude(지점)1,longitude(지점)1,지점2,지점번호2,latitude(지점)2,longitude(지점)2
75,58076,지이케이 태양광발전소,1.72638,강원,강원 평창군 방림면,37.42645,128.39423,TRUE,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,홍천,212,37.6836,127.88043
76,4621,리치1호 태양광발전,1.50732,강원,강원 정선군 신동읍,37.2182,128.67143,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
77,56254,오성태양광발전기,2.00178,강원,강원 영월군 중동면,37.145287,128.68053,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
78,12476,영월 철도부지 태양광,1.1907,강원,강원 영월군 영월읍,37.187435,128.46606,TRUE,영월,121,37.18126,128.45743,정선군,217,37.38149,128.6459,봉화,271,36.94361,128.91449
79,65870,백산태양광발전기,0.996,강원,강원 태백시 백산동,37.146744,129.04837,TRUE,동해,106,37.50709,129.12433,태백,216,37.17038,128.98929,울진,130,36.99176,129.41278
80,68062,춘천정비부대태양광#2,0.418,강원,강원 춘천시 신동면,37.817696,127.71603,TRUE,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
81,68064,춘천정비부대태양광#1,0.501,강원,강원 춘천시 신동면,37.817696,127.71603,TRUE,춘천,101,37.90262,127.7357,홍천,212,37.6836,127.88043,양평,202,37.48863,127.49446
82,61389,춘천MBC태양광,1.494,강원,강원 춘천시 수변공원길,37.874203,127.70602,TRUE,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
83,56393,최강일태양광,2.00124,강원,강원 영월군 상동읍,37.13188547,128.834203,TRUE,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
84,35108,황지태양광,0.048,강원,강원 태백시,37.16401,128.98572,TRUE,정선군,217,37.38149,128.6459,태백,216,37.17038,128.98929,봉화,271,36.94361,128.91449
85,56207,자등2태양광발전소,0.49896,강원,강원 철원군 서면,38.16465,127.41571,TRUE,속초,90,38.25085,128.56473,철원,95,38.14787,127.3042,백령도,102,37.97396,124.71237
86,56208,자등1태양광발전소,0.49896,강원,강원 철원군 서면,38.16465,127.41571,TRUE,속초,90,38.25085,128.56473,철원,95,38.14787,127.3042,백령도,102,37.97396,124.71237
87,56408,kt원주연수원 태양광,0.3216,강원,강원 원주시 행구덕현길,37.33709,127.99869,TRUE,원주,114,37.33749,127.94659,정선군,217,37.38149,128.6459,제천,221,37.15928,128.19433
88,4083,SD에너지태양광,1.4994,강원,강원 인제군 인제읍,38.07039,128.17221,TRUE,속초,90,38.25085,128.56473,인제,211,38.05986,128.16714,철원,95,38.14787,127.3042
89,64307,포천파워소내태양광,0.664,경기,경기 포천시 창수면,37.991734,127.18912,TRUE,철원,95,38.14787,127.3042,동두천,98,37.90188,127.0607,양평,202,37.48863,127.49446
90,1578,석그린태양광발전소,1.86552,경기,경기 포천시 창수면,37.991734,127.18912,TRUE,철원,95,38.14787,127.3042,동두천,98,37.90188,127.0607,양평,202,37.48863,127.49446
91,56023,디티이엔비 1호 태양광,1.49796,경기,경기 안성시 삼죽면,37.07478912,127.3892005,TRUE,수원,119,37.25746,126.983,이천,203,37.26399,127.48421,천안,232,36.76217,127.29282
92,29881,석정태양광발전소,0.19832,경기,경기 평택시 포승읍,36.98282,126.885315,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
93,29864,평택2복합태양광,0.455,경기,경기 평택시 포승읍,36.98282,126.885315,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
94,13405,농심율촌태양광,0.84,경기,경기 평택시 포승읍,36.98282,126.885315,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
95,13404,농심포승태양광,1.27,경기,경기 평택시 포승읍,36.98282,126.885315,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
96,66869,한온시스템 평택공장 태양광 발전소,1.15344,경기,경기도 평택시 포승읍,36.98282,126.885315,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
97,64251,포곡55사단태양광,0.99648,경기,경기 용인시 처인구,37.234306,127.201355,TRUE,수원,119,37.25746,126.983,이천,203,37.26399,127.48421,천안,232,36.76217,127.29282
98,930,3군사태양광,1.464,경기,경기 용인시 처인구,37.234306,127.201355,TRUE,수원,119,37.25746,126.983,이천,203,37.26399,127.48421,천안,232,36.76217,127.29282
99,18287,용인청정태양광,1.085,경기,경기 용인시 처인구,37.234306,127.201355,TRUE,수원,119,37.25746,126.983,이천,203,37.26399,127.48421,천안,232,36.76217,127.29282
100,2644,평택서부공설운동장태양광,0.753,경기,경기 평택시 청북면,37.039814,126.93427,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
101,34385,송인태양광,2.4786,경기,경기 연천군 미산면,38.047478,126.99293,TRUE,철원,95,38.14787,127.3042,파주,99,37.88589,126.76648,백령도,102,37.97396,124.71237
102,56200,에버그린태양광,2.4786,경기,경기 연천군 미산면,38.047478,126.99293,TRUE,철원,95,38.14787,127.3042,파주,99,37.88589,126.76648,백령도,102,37.97396,124.71237
103,4618,디에스4호,0.82656,경기,경기 연천군 미산면,38.047478,126.99293,TRUE,철원,95,38.14787,127.3042,파주,99,37.88589,126.76648,백령도,102,37.97396,124.71237
104,44821,옻골 태양광발전소,0.25935,경기,경기 화성시 송산면,37.217804,126.73916,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
105,1854,에스디해바라기 태양광발전소 3호,2.2977,경기,경기 이천시 율면,37.09431,127.546455,TRUE,이천,203,37.26399,127.48421,청주,131,36.63935,127.44089,충주,127,36.97045,127.9525
106,56409,케이티화성송신소태양광,2.98485,경기,경기 화성시 서신면,37.166573,126.70873,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
107,2496,콘카그린쏠라1호,1.96992,경기,경기 평택시 포스읍,36.99424075,126.8359886,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
108,35123,덕소정수장정수지태양광,1.012,경기,경기 남양주시 와부읍,37.58543,127.21665,TRUE,동두천,98,37.90188,127.0607,양평,202,37.48863,127.49446,서울,108,37.57142,126.9658
109,35136,덕소정수장태양광발전기,0.327,경기,경기 남양주시 와부읍,37.58543,127.21665,TRUE,동두천,98,37.90188,127.0607,양평,202,37.48863,127.49446,서울,108,37.57142,126.9658
110,62087,코리아로드태양광3호기,1.703,경기,경기 용인시 수지구,37.322117,127.09768,TRUE,수원,119,37.25746,126.983,양평,202,37.48863,127.49446,서울,108,37.57142,126.9658
111,61888,광명전기태양광,0.5,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
112,35137,시흥정수장태양광발전기,0.099,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
113,29875,안산초지태양광,0.16,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
114,29872,안산와동태양광,0.21,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
115,29874,안산성곡태양광,0.17,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
116,29873,안산목내태양광,0.18,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
117,29871,안산공단태양광,0.21,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
118,39381,안산하수처리시설태양광,1.248,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
119,39382,안산정수장태양광,0.537,경기,경기 안산시 단원구,37.321148,126.81532,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
120,54868,와초리 태양광,1.8468,경기,경기 연천군 연천읍,38.103924,127.075935,TRUE,철원,95,38.14787,127.3042,파주,99,37.88589,126.76648,백령도,102,37.97396,124.71237
121,62212,교통안전공단태양광,0.9,경기,경기 화성시 성산면,37.238325,126.675511,TRUE,수원,119,37.25746,126.983,인천,112,37.47772,126.6249,서산,129,36.77655689,126.4939076
122,50877,이케아 고양점 태양광발전기,0.994175,경기,경기도 고양시 덕양구,37.637478,126.83219,TRUE,파주,99,37.88589,126.76648,서울,108,37.57142,126.9658,인천,112,37.47772,126.6249
123,30127,지축차량기지태양광,1.992,경기,경기 고양시 덕양구,37.637478,126.83219,TRUE,파주,99,37.88589,126.76648,서울,108,37.57142,126.9658,인천,112,37.47772,126.6249
124,61786,카피어솔라태양광,0.49533,경기,경기 파주시 파주읍,37.83075,126.82003,TRUE,동두천,98,37.90188,127.0607,파주,99,37.88589,126.76648,서울,108,37.57142,126.9658
125,37042,신세계구성태양광,0.462,경기,경기 용인시 기흥구,37.280384,127.11472,TRUE,수원,119,37.25746,126.983,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
126,4704,KCC중앙연구소 종합연구동태양광,1.134,경기,경기 용인시 기흥구,37.280384,127.11472,TRUE,수원,119,37.25746,126.983,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
127,2964,BBTS태양광,0.999,경기,경기 이천시 대월면,37.229885,127.49239,TRUE,이천,203,37.26399,127.48421,청주,131,36.63935,127.44089,충주,127,36.97045,127.9525
128,48750,행죽태양광,1.75329,경기,경기 이천시 설성면,37.13247,127.522026,TRUE,이천,203,37.26399,127.48421,청주,131,36.63935,127.44089,충주,127,36.97045,127.9525
129,1691,덕우수상회전식태양광,2.656,경기,경기 화성시 봉담읍,37.220066,126.94954,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
130,4707,케이씨씨 여주태양광 제3발전소,0.84096,경기,경기 여주시 가남읍,37.2018,127.54516,TRUE,이천,203,37.26399,127.48421,청주,131,36.63935,127.44089,충주,127,36.97045,127.9525
131,4708,케이씨씨 여주태양광 제4발전소,1.11033,경기,경기 여주시 가남읍,37.2018,127.54516,TRUE,이천,203,37.26399,127.48421,청주,131,36.63935,127.44089,충주,127,36.97045,127.9525
132,6257,KTC태양광,1.378,경기,경기 화성시 팔탄면,37.162266,126.904854,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
133,56224,에이치알태양광발전소,2.07296,경기,경기 화성시 우정읍,37.08982,126.81535,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
134,1690,멱우수상회전식태양광,2.9952,경기,경기 화성시 우정읍,37.08982,126.81535,TRUE,수원,119,37.25746,126.983,서산,129,36.77655689,126.4939076,천안,232,36.76217,127.29282
135,13454,제일종축태양광,2.221,경기,경기 이천시 부발읍,37.28366,127.486885,TRUE,원주,114,37.33749,127.94659,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
136,2591,팜스코태양광,2.99,경기,경기 이천시 부발읍,37.28366,127.486885,TRUE,원주,114,37.33749,127.94659,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
137,1944,린컴퍼니태양광,0.402,경기,경기 이천시 부발읍,37.28366,127.486885,TRUE,원주,114,37.33749,127.94659,양평,202,37.48863,127.49446,이천,203,37.26399,127.48421
138,19801,디와이뱅크9호태양광,0.7488,경기,경기 안성시 원곡면,37.03972,127.129616,TRUE,수원,119,37.25746,126.983,이천,203,37.26399,127.48421,천안,232,36.76217,127.29282
139,929,605수송대대태양광,1.518,경기,경기 포천시 이동면,38.03067,127.36758,TRUE,철원,95,38.14787,127.3042,춘천,101,37.90262,127.7357,양평,202,37.48863,127.49446
