,date,hour,48683,4711,65561,56280,42342,18272,2065
203,20191209.0,12.0,2.016,1.08,0.2268,0.58824,0.6864,0.25704,0.577296
204,20191209.0,13.0,2.016,1.1088,0.2304,0.5925600000000001,0.70176,0.2592,0.582624
205,20191209.0,14.0,1.8576,1.008,0.2142,0.52704,0.6499199999999999,0.22968,0.541944
206,20191209.0,15.0,1.404,0.7758,0.16812,0.41112,0.51456,0.1764,0.436032
207,20191209.0,16.0,0.5496,0.3978,0.08784,0.21096,0.19488,0.08784,0.215712
208,20191209.0,17.0,0.1464,0.072,0.01224,0.02808,0.03936,0.01548,0.03024
209,20191209.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,20191209.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,20191209.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,20191209.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,20191209.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,20191209.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,20191209.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,20191210.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,20191210.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,20191210.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,20191210.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,20191210.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,20191210.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,20191210.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,20191210.0,8.0,0.036,0.0108,0.00036,0.0072,0.01248,0.00504,0.007344
224,20191210.0,9.0,0.1944,0.117,0.0144,0.04896,0.06624,0.02376,0.047304
225,20191210.0,10.0,0.48,0.3168,0.05184,0.14904,0.15264,0.05508,0.12132
226,20191210.0,11.0,1.0992,0.6659999999999999,0.11628,0.38592,0.3792,0.14976,0.375408
227,20191210.0,12.0,1.4880000000000002,0.9072,0.18108,0.46872,0.52512,0.2088,0.459432
228,20191210.0,13.0,1.692,0.9342,0.18036,0.49032,0.56928,0.21564,0.538632
229,20191210.0,14.0,1.6248,0.9216,0.16704,0.46152,0.0,0.20988,0.474192
230,20191210.0,15.0,1.0392,0.747,0.15012,0.3996,0.0,0.14544,0.357552
231,20191210.0,16.0,0.4728,0.3888,0.08244,0.1908,0.0336,0.07056,0.154224
232,20191210.0,17.0,0.1512,0.072,0.01368,0.03168,0.04992,0.01944,0.038448
233,20191210.0,18.0,0.0,0.0,0.0,0.0,0.00096,0.0,0.0
234,20191210.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,20191210.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,20191210.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,20191210.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,20191210.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,20191210.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,20191211.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,20191211.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,20191211.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,20191211.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,20191211.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,20191211.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,20191211.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,20191211.0,8.0,0.036,0.0108,0.00144,0.00864,0.01248,0.00432,0.009288
