,번호,발전기명,설비용량(MW),광역지역,세부지역,latitude,longitude
139,68867,빛나리2호태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
140,9041,굴왓 햇빛발전소,0.49896,제주,제주특별자치도 서귀포시 안덕면,33.257626,126.33067
141,5642,강석3호태양광,0.09936,제주,제주 서귀포시 남원읍,33.279884,126.720665
142,33728,소현에너지태양광,0.0952,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
143,974,금학2태양광,0.86751,제주,제주 서귀포시 남원읍,33.279884,126.720665
144,63551,터와울태양광,0.0994,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
145,36919,신산2호 태양광,0.09916,제주,제주 서귀포시 남원읍,33.279884,126.720665
146,62501,태공1호태양광발전소,0.09916,제주,제주 서귀포시 남원읍,33.279884,126.720665
147,55913,가시태양광,0.9324,제주,제주특별자치도 서귀포시 표선면,33.326717,126.83098000000001
148,5079,가온태양광발전소,0.34776,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
149,2298,제주햇빛태양광,1.7,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
150,22428,문지훈태양광발전소,0.4599,제주,제주특별자치도 서귀포시 대정읍,33.22667,126.25181599999999
151,29725,서광태양광발전소,0.295,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
152,19851,따라비태양광발전소,0.0999,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
153,37561,신천3호태양광,0.095,제주,제주 서귀포시 남원읍,33.279884,126.720665
154,25365,보배태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
155,69523,혁정1호태양광,0.498,제주,제주 서귀포시 남원읍,33.279884,126.720665
156,56296,유진1호,0.095625,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
157,1679,솔라텍태양광,0.49,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
158,33730,소현에너지2호,0.42228000000000004,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
159,64313,표선1호 태양광,0.9617399999999999,제주,제주특별자치도 서귀포시 표선면,33.326717,126.83098000000001
160,10240,금산 태양광발전소,0.39116999999999996,제주,제주 서귀포시 남원읍,33.279884,126.720665
161,55936,경철태양광,0.99792,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
162,33735,소현태양광,0.098,제주,제주 서귀포시 남원읍,33.279884,126.720665
163,19658,들꽃01,0.3136,제주,제주특별자치도 서귀포시 대정읍,33.22667,126.25181599999999
164,63280,태일태양광발전소,0.29808,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
165,56459,하나에너지,0.49896,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
166,54399,정포1호태양광,0.09906000000000001,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
167,6445,경선무릉태양광,0.373,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
168,57928,지영태양광,0.5,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
169,55176,표선재경솔라팜태양광,0.4,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
170,32768,세계태양광발전소,0.1989,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
171,56321,일유태양광,0.49617,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
172,2781,협신무릉태양광,0.556,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
173,13390,탐라그린태양광,2.003,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
174,65508,하윤태양광발전소,0.24624000000000001,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
175,34772,수망햇빛1호태양광발전소,0.2992,제주,제주 서귀포시 남원읍,33.279884,126.720665
176,12001,나민영2 태양광발전소,0.0918,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
177,55171,제주무릉태양광#2,0.096,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
178,56330,정성태양광발전소2호,0.9007200000000001,제주,제주 서귀포시 남원읍,33.279884,126.720665
179,1813,안덕태양광,1.1963700000000002,제주,제주 서귀포시 안덕면,33.257626,126.33067
180,2297,제주태양광발전소,0.9990000000000001,제주,제주 서귀포시 남원읍,33.279884,126.720665
181,64489,푸른태양광,0.35,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
182,55961,에스에프태양광,0.4,제주,제주 서귀포시 남원읍,33.279884,126.720665
183,12579,남선못태양광발전소,0.0988,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
184,16183,보성리581태양광,0.09,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
185,47005,웅태양광,0.09928,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
186,69956,현석태양광,0.09,제주,제주 서귀포시 안덕면,33.257626,126.33067
187,22027,무릉1리 다목적회관 발전기,0.03108,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
188,51540,일맥태양광,0.066,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
189,56476,해오름에너지태양광발전소,1.724,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
190,3380,HLS태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
191,23268,미희태양광,0.049,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
192,4459,VE태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
193,17459,도순1호,0.03996,제주,제주 서귀포시 도순남로29번길,33.250546,126.47536000000001
194,29790,서락 태양광발전소,0.08925,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
195,37856,신흥2호 태양광발전소,0.45899999999999996,제주,제주 서귀포시 남원읍,33.279884,126.720665
196,56766,주현1호태양광,0.09936,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
197,23640,바다해태양광,0.3996,제주,제주특별자치도 서귀포시 중문동,33.25333,126.43364
198,4933,가산2태양광발전소,0.89505,제주,제주 서귀포시 남원읍,33.279884,126.720665
199,27093,빛나리1호태양광,0.099,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
200,5992,거슨새미 태양광발전소,0.19872,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
201,18746,동일리 태양광발전,0.26306999999999997,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
202,14927,대동솔라태양광,0.49932,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
203,55963,나목도태양광,0.46008000000000004,제주,제주 서귀포시 표선면,33.326717,126.83098000000001
204,42451,영락태양광발전,0.32706,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
205,56410,KT무릉송신소 태양광,0.49572,제주,제주 서귀포시 대정읍,33.22667,126.25181599999999
